2018-01-09 09:13:14.514 - ping -> pong, [channel=[id: 0x22900cc4, L:/192.168.1.100:3000 - R:/192.168.1.100:12388], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-2', userId='user-21', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460394512, lastWriteTime=1515460394514]
2018-01-09 09:13:14.517 - ping -> pong, [channel=[id: 0x78162749, L:/192.168.1.100:3000 - R:/192.168.1.100:12395], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-9', userId='user-91', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460394516, lastWriteTime=1515460394517]
2018-01-09 09:13:14.519 - ping -> pong, [channel=[id: 0x0129911c, L:/192.168.1.100:3000 - R:/192.168.1.100:12394], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-8', userId='user-81', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460394517, lastWriteTime=1515460394519]
2018-01-09 09:14:13.603 - ping -> pong, [channel=[id: 0x7bffd367, L:/192.168.1.100:3000 - R:/192.168.1.100:12391], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-5', userId='user-51', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460453602, lastWriteTime=1515460453603]
2018-01-09 09:14:13.603 - ping -> pong, [channel=[id: 0xcb776225, L:/192.168.1.100:3000 - R:/192.168.1.100:12389], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-3', userId='user-31', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460453602, lastWriteTime=1515460453603]
2018-01-09 09:14:13.604 - ping -> pong, [channel=[id: 0x1c9311ce, L:/192.168.1.100:3000 - R:/192.168.1.100:12392], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-6', userId='user-61', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460453602, lastWriteTime=1515460453604]
2018-01-09 09:14:13.607 - ping -> pong, [channel=[id: 0xf0de67b6, L:/192.168.1.100:3000 - R:/192.168.1.100:12393], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-7', userId='user-71', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460453605, lastWriteTime=1515460453607]
2018-01-09 09:14:13.609 - ping -> pong, [channel=[id: 0xfd815cef, L:/192.168.1.100:3000 - R:/192.168.1.100:12387], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-1', userId='user-11', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460453607, lastWriteTime=1515460453609]
2018-01-09 09:14:13.611 - ping -> pong, [channel=[id: 0x79a4a280, L:/192.168.1.100:3000 - R:/192.168.1.100:12386], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-0', userId='user-01', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460453610, lastWriteTime=1515460453611]
2018-01-09 09:14:13.612 - ping -> pong, [channel=[id: 0x7133bca6, L:/192.168.1.100:3000 - R:/192.168.1.100:12390], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-4', userId='user-41', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460453610, lastWriteTime=1515460453612]
